oid,cid,idn,tna,rnk,tid,oei,oli,eag,lag,rid,lng,lat,cnm,cxi,ctno,aka,eid,idr,iid,tdf,flg
occ:1555212,col:219400,Sauropoda indet.,Sauropoda,25,txn:38653,Campanian,,83.6,72.2,ref:76342,-65.43972,-18.988056,Chaunaca tracksite (upper),113,,,,,,,
occ:1555213,col:36234,Theropoda <indet. B>,Theropoda,25,txn:38513,Maastrichtian,,72.2,66.0,ref:82631,-65.233612,-19.007778,Cal Orcko tracksite,112,,"Cal Orck'o, Cal Orko",,,,,
occ:1555214,col:36234,? Aves <indet. D>,Aves,17,txn:36616,Maastrichtian,,72.2,66.0,ref:76342,-65.233612,-19.007778,Cal Orcko tracksite,112,,"Cal Orck'o, Cal Orko",,,,,
occ:1555215,col:36234,Iguanodontia <indet. H>,Iguanodontia,11,txn:52805,Maastrichtian,,72.2,66.0,ref:76342,-65.233612,-19.007778,Cal Orcko tracksite,112,,"Cal Orck'o, Cal Orko",,,,,
occ:1555216,col:36234,Hadrosauridae <indet. I>,Hadrosauridae,9,txn:38755,Maastrichtian,,72.2,66.0,ref:76342,-65.233612,-19.007778,Cal Orcko tracksite,112,,"Cal Orck'o, Cal Orko",,,,,
occ:1555218,col:219401,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-66.291,-17.546,Santivañez-Parotani tracksite 2,112,,,,,,,
occ:1555219,col:219402,Hadrosauridae indet.,Hadrosauridae,9,txn:38755,Maastrichtian,,72.2,66.0,ref:76345,-66.250999,-17.566999,"Río Tinkumayo tracksite, Lipez",112,,,,,,,
occ:1555220,col:219402,Coelurosauria indet.,Coelurosauria,25,txn:53940,Maastrichtian,,72.2,66.0,ref:76345,-66.250999,-17.566999,"Río Tinkumayo tracksite, Lipez",112,,,,,,,
occ:1555221,col:219403,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-65.941002,-17.705999,Blanco Rancho tracksite,112,,,,,,,
occ:1555222,col:219404,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-65.935997,-17.67,tracksite 3 km from Pajcha Pata,112,,,,,,,
occ:1555223,col:219405,Dinosauria indet.,Dinosauria,25,txn:52775,Late Cretaceous,,100.5,66.0,ref:76345,-66.490997,-17.271,Patamorochata tracksite,39,,Pata Morochata,,,,,
